EXCHANGE%3DNYSEMKT
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=1800
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1480084200,3.66,3.66,3.66,3.66,100
1,3.63,3.65,3.62,3.62,600
2,3.6092,3.6092,3.607,3.607,200
4,3.4963,3.4963,3.4963,3.4963,2000
5,3.55,3.55,3.55,3.55,100
6,3.585,3.6,3.585,3.6,200
7,3.6,3.61,3.6,3.61,600
144,3.57,3.57,3.57,3.57,751
145,3.58,3.58,3.58,3.58,400
146,3.46,3.46,3.46,3.46,100
149,3.5,3.58,3.5,3.5053,2488
151,3.55,3.55,3.55,3.55,100
152,3.55,3.575,3.55,3.575,1280
153,3.6,3.6,3.55,3.57,3200
154,3.6136,3.6136,3.6136,3.6136,1052
155,3.585,3.585,3.55,3.55,300
156,3.55,3.6,3.55,3.6,200
157,3.6,3.61,3.551,3.551,2400
194,3.52,3.6,3.52,3.6,2800
196,3.48,3.48,3.48,3.48,100
197,3.58,3.58,3.57,3.57,1000
201,3.58,3.5807,3.58,3.58,1655
204,3.59,3.59,3.59,3.59,100
205,3.58,3.6,3.58,3.6,300
248,3.59,3.59,3.58,3.58,710
249,3.6,3.6,3.6,3.6,100
250,3.6,3.61,3.6,3.6,400
252,3.6538,3.6843,3.6538,3.6843,1144
253,3.61,3.61,3.61,3.61,400
289,3.68,3.68,3.68,3.68,100
290,3.6,3.6,3.6,3.6,1851
291,3.6,3.601,3.6,3.601,250
292,3.63,3.63,3.6064,3.6064,350
293,3.63,3.63,3.63,3.63,118
295,3.55,3.55,3.55,3.55,100
296,3.6,3.6,3.6,3.6,100
297,3.6,3.6,3.6,3.6,200
301,3.61,3.6101,3.6001,3.6001,800
336,3.56,3.56,3.56,3.56,1449
337,3.656,3.656,3.656,3.656,166
338,3.58,3.6,3.52,3.54,500
340,3.54,3.54,3.54,3.54,100
341,3.583,3.595,3.5201,3.5201,1800
342,3.555,3.58,3.531,3.574,3800
343,3.55,3.55,3.53,3.53,300
344,3.56,3.56,3.56,3.56,400
345,3.555,3.59,3.52,3.54,10700
346,3.555,3.59,3.555,3.555,400
347,3.6,3.6,3.55,3.583,2000
348,3.6,3.6,3.6,3.6,1992
349,3.69,3.69,3.6,3.6,800
480,3.61,3.61,3.61,3.61,145
482,3.64,3.64,3.6,3.6,973
484,3.6,3.6156,3.6,3.6156,222
485,3.6,3.601,3.6,3.6,1700
486,3.54,3.6105,3.54,3.6105,492
487,3.595,3.595,3.595,3.595,100
488,3.6,3.6,3.5253,3.5253,600
489,3.54,3.54,3.54,3.54,100
492,3.64,3.64,3.59,3.6,798
493,3.65,3.65,3.64,3.641,8180
529,3.54,3.54,3.54,3.54,100
530,3.5554,3.56,3.5301,3.5301,1221
531,3.57,3.57,3.57,3.57,100
532,3.57,3.57,3.5546,3.5546,1479
534,3.565,3.5999,3.56,3.565,7393
535,3.57,3.57,3.57,3.57,100
536,3.56,3.57,3.56,3.56,300
538,3.54,3.54,3.54,3.54,100
539,3.6,3.6,3.6,3.6,410
541,3.59,3.6,3.59,3.6,2233
576,3.53,3.53,3.53,3.53,685
577,3.6404,3.6891,3.6404,3.65,4615
578,3.6,3.62,3.6,3.62,200
579,3.58,3.6,3.58,3.6,400
580,3.5717,3.5717,3.5717,3.5717,1300
581,3.56,3.56,3.56,3.56,100
582,3.57,3.57,3.56,3.57,600
584,3.55,3.55,3.55,3.55,100
585,3.53,3.545,3.53,3.54,2310
586,3.535,3.535,3.535,3.535,100
587,3.52,3.55,3.52,3.52,300
588,3.6,3.6,3.5,3.55,3184
589,3.65,3.65,3.555,3.555,400
624,3.59,3.59,3.59,3.59,745
625,3.65,3.6616,3.53,3.53,2669
626,3.57,3.66,3.57,3.66,2900
627,3.6065,3.6065,3.45,3.45,300
628,3.59,3.6,3.57,3.6,1600
629,3.65,3.65,3.65,3.65,100
631,3.555,3.6,3.5,3.5,12100
632,3.555,3.6,3.52,3.52,980
633,3.565,3.58,3.565,3.57,357
